"RegionName","Year","Month","Ratio"
94947,2010,10,16.9
95054,2010,10,19.11
94607,2010,10,13.71
94619,2010,10,17.35
94107,2010,10,18.21
94103,2010,10,17.25
94123,2010,10,21.85
94085,2010,10,17.78
95032,2010,10,26.03
94579,2010,10,15.55
95135,2010,10,21.1
94547,2010,10,14.45
95118,2010,10,19.91
94609,2010,10,19.06
94030,2010,10,20.43
94024,2010,10,26.93
94704,2010,10,20.97
94519,2010,10,14.35
94564,2010,10,13.59
94596,2010,10,21.75
94803,2010,10,13.77
94588,2010,10,21.89
94506,2010,10,21.57
94022,2010,10,26.93
95138,2010,10,22.27
94089,2010,10,16.55
95126,2010,10,18.96
95110,2010,10,15.41
94703,2010,10,20.68
94127,2010,10,19.93
94502,2010,10,22.16
94595,2010,10,15.45
94706,2010,10,21.51
94301,2010,10,26.95
94805,2010,10,13.61
94702,2010,10,19.44
94960,2010,10,17.2
94563,2010,10,23.1
94945,2010,10,17.21
94707,2010,10,24.77
94552,2010,10,21.83
94618,2010,10,24.87
95134,2010,10,17.9
94705,2010,10,24.72
94920,2010,10,14.86
94108,2010,10,18.06
94965,2010,10,16.22
94904,2010,10,14.86
94556,2010,10,22.89
94612,2010,10,15.36
94708,2010,10,24.81
94041,2010,10,25.03
94507,2010,10,23.08
94597,2010,10,19.37
94709,2010,10,23.43
94949,2010,10,17.5
94542,2010,10,17.94
94065,2010,10,20.04
94305,2010,10,26.86
95030,2010,10,26.96
94517,2010,10,19.68
94019,2010,10,19.28
95130,2010,10,22.36
94572,2010,10,12.6
94505,2010,10,13.49
94925,2010,10,16
95119,2010,10,17.21
94027,2010,10,20.23
94930,2010,10,19.16
95033,2010,10,23.41
94028,2010,10,20.24
94939,2010,10,14.85
95139,2010,10,16.77
94105,2010,10,19.45
94005,2010,10,19.58
94710,2010,10,19.19
95046,2010,10,19.96
94111,2010,10,19.99
94525,2010,10,13.66
94038,2010,10,19.73
94937,2010,10,19.02
94158,2010,10,18.36
94970,2010,10,14.9
94020,2010,10,19.99
94565,2010,11,8.84
94112,2010,11,14.44
94544,2010,11,12.4
94110,2010,11,18.1
94587,2010,11,16.62
95035,2010,11,17.57
94538,2010,11,17.14
94501,2010,11,20.7
94536,2010,11,19.23
94513,2010,11,12.25
95111,2010,11,13.97
95127,2010,11,14.24
94806,2010,11,10.08
95123,2010,11,16.49
94509,2010,11,8.23
94122,2010,11,17.99
94080,2010,11,18.31
95122,2010,11,12.7
94109,2010,11,19.14
94015,2010,11,18.57
94541,2010,11,12.97
95020,2010,11,14.26
94087,2010,11,25.52
95051,2010,11,20.54
95125,2010,11,22.72
94539,2010,11,24.85
95112,2010,11,16
95014,2010,11,25.97
95116,2010,11,13.08
95148,2010,11,17.44
94601,2010,11,10.94
94014,2010,11,17.6
94550,2010,11,17.39
94553,2010,11,15.53
95136,2010,11,17.26
94901,2010,11,16.53
95037,2010,11,18.58
94086,2010,11,22.81
94025,2010,11,22.28
94560,2010,11,15.69
95008,2010,11,21.7
94577,2010,11,15
94303,2010,11,24.13
94116,2010,11,18.11
94121,2010,11,18.84
94546,2010,11,17.23
95124,2010,11,21.47
94551,2010,11,15.33
95129,2010,11,24.74
94118,2010,11,20.6
94605,2010,11,13.25
94066,2010,11,18.84
94403,2010,11,21.15
94010,2010,11,22.3
94520,2010,11,11.58
95132,2010,11,18.72
94117,2010,11,20.04
94583,2010,11,20.74
94124,2010,11,11.24
94568,2010,11,18.18
94555,2010,11,19.86
94804,2010,11,9.79
94606,2010,11,13.16
94134,2010,11,13.2
94561,2010,11,9.67
94566,2010,11,23.9
94044,2010,11,18.76
94578,2010,11,14.7
94523,2010,11,19.37
95120,2010,11,23.77
94401,2010,11,18.64
95128,2010,11,19.35
95121,2010,11,15.18
94132,2010,11,15.65
94115,2010,11,20.17
94521,2010,11,15.97
94404,2010,11,20.47
95070,2010,11,26.22
94621,2010,11,7.48
94061,2010,11,21.01
94582,2010,11,19.73
94526,2010,11,22.74
94531,2010,11,10.39
94040,2010,11,25.84
94114,2010,11,20.93
95117,2010,11,20.46
94801,2010,11,7.58
95050,2010,11,19.89
94611,2010,11,24.67
94063,2010,11,16.34
94603,2010,11,9.35
94545,2010,11,12.99
94598,2010,11,22.36
94580,2010,11,14.23
94941,2010,11,14.93
95131,2010,11,18.23
94002,2010,11,21.68
94133,2010,11,20.55
94306,2010,11,26.26
94608,2010,11,14.93
94062,2010,11,22.13
95133,2010,11,15.04
94610,2010,11,23.66
94530,2010,11,22.69
94602,2010,11,20.35
94402,2010,11,22.19
94549,2010,11,23.68
94903,2010,11,18.24
94043,2010,11,21.7
94131,2010,11,19.43
94070,2010,11,21.82
94518,2010,11,16.99
94102,2010,11,15.35
94947,2010,11,16.81
95054,2010,11,18.97
94607,2010,11,13.74
94619,2010,11,16.82
94107,2010,11,17.85
94103,2010,11,16.9
94123,2010,11,21.74
94085,2010,11,17.62
95032,2010,11,25.24
94579,2010,11,15.13
95135,2010,11,21.34
94547,2010,11,14.54
95118,2010,11,19.85
94609,2010,11,18.64
94030,2010,11,21.95
94024,2010,11,26.31
94704,2010,11,20.85
94519,2010,11,14.19
94564,2010,11,13.53
94596,2010,11,22.44
94803,2010,11,13.82
94588,2010,11,21.82
94506,2010,11,21.92
94022,2010,11,26.32
95138,2010,11,22.05
94089,2010,11,16.34
95126,2010,11,18.73
95110,2010,11,15.57
94703,2010,11,20.37
94127,2010,11,19.56
94502,2010,11,22.03
94595,2010,11,15.68
94706,2010,11,21.22
94301,2010,11,26.37
94805,2010,11,13.49
94702,2010,11,19.04
94960,2010,11,17.21
94563,2010,11,23.65
94945,2010,11,17.08
94707,2010,11,24.83
94552,2010,11,21.55
94618,2010,11,24.84
95134,2010,11,17.73
94705,2010,11,24.75
94920,2010,11,14.82
94108,2010,11,17.75
94965,2010,11,16.25
94904,2010,11,14.82
94556,2010,11,23.24
94612,2010,11,15.23
94708,2010,11,24.75
94041,2010,11,24.78
94507,2010,11,23.6
94597,2010,11,20.1
94709,2010,11,23.34
94949,2010,11,17.53
94542,2010,11,17.73
94065,2010,11,20.56
94305,2010,11,26.25
95030,2010,11,26.34
94517,2010,11,20.45
94019,2010,11,19.51
95130,2010,11,22.64
94572,2010,11,12.55
94505,2010,11,13.53
94925,2010,11,16.05
95119,2010,11,17.17
94027,2010,11,22.3
94930,2010,11,18.83
95033,2010,11,23.18
94028,2010,11,22.26
94939,2010,11,14.79
95139,2010,11,16.66
94105,2010,11,19.34
94005,2010,11,19.31
94710,2010,11,18.8
95046,2010,11,19.93
94111,2010,11,19.76
94525,2010,11,13.65
94038,2010,11,19.75
94937,2010,11,19.21
94158,2010,11,17.95
94970,2010,11,14.88
94020,2010,11,20.77
94565,2010,12,8.67
94112,2010,12,14.04
94544,2010,12,12.39
94110,2010,12,17.78
94587,2010,12,16.35
95035,2010,12,17.66
94538,2010,12,16.79
94501,2010,12,20.33
94536,2010,12,18.88
94513,2010,12,12.27
95111,2010,12,13.79
95127,2010,12,14.35
94806,2010,12,9.92
95123,2010,12,16.49
94509,2010,12,8.13
94122,2010,12,17.58
94080,2010,12,18.08
95122,2010,12,12.61
94109,2010,12,18.91
94015,2010,12,18.15
94541,2010,12,12.91
95020,2010,12,14.57
94087,2010,12,25.28
95051,2010,12,20.14
95125,2010,12,22.34
94539,2010,12,24.41
95112,2010,12,16.16
95014,2010,12,25.52
95116,2010,12,12.93
95148,2010,12,17.36
94601,2010,12,10.93
94014,2010,12,17.23
94550,2010,12,17.15
94553,2010,12,15.18
95136,2010,12,17.14
94901,2010,12,16.49
95037,2010,12,18.36
94086,2010,12,22.5
94025,2010,12,23.36
94560,2010,12,15.44
95008,2010,12,21.4
94577,2010,12,14.76
94303,2010,12,23.7
94116,2010,12,17.69
94121,2010,12,18.36
94546,2010,12,16.84
95124,2010,12,21.3
94551,2010,12,15.09
95129,2010,12,24.47
94118,2010,12,20.6
94605,2010,12,13.08
94066,2010,12,18.56
94403,2010,12,21.06
94010,2010,12,23.48
94520,2010,12,11.45
95132,2010,12,18.65
94117,2010,12,19.88
94583,2010,12,20.87
94124,2010,12,10.86
94568,2010,12,17.99
94555,2010,12,19.67
94804,2010,12,9.52
94606,2010,12,13.13
94134,2010,12,12.78
94561,2010,12,9.55
94566,2010,12,23.71
94044,2010,12,18.4
94578,2010,12,14.45
94523,2010,12,19.26
95120,2010,12,23.5
94401,2010,12,18.53
95128,2010,12,19.4
95121,2010,12,15.11
94132,2010,12,15.17
94115,2010,12,20.13
94521,2010,12,15.73
94404,2010,12,20.59
95070,2010,12,25.79
94621,2010,12,7.37
94061,2010,12,20.85
94582,2010,12,19.53
94526,2010,12,22.53
94531,2010,12,10.29
94040,2010,12,25.42
94114,2010,12,20.85
95117,2010,12,20.19
94801,2010,12,7.42
95050,2010,12,19.7
94611,2010,12,24.13
94063,2010,12,16.5
94603,2010,12,9.14
94545,2010,12,12.84
94598,2010,12,22.42
94580,2010,12,14.02
94941,2010,12,14.93
95131,2010,12,18.06
94002,2010,12,22.05
94133,2010,12,20.38
94306,2010,12,25.99
94608,2010,12,14.86
94062,2010,12,23.13
95133,2010,12,15.14
94610,2010,12,23.32
94530,2010,12,22.78
94602,2010,12,20.05
94402,2010,12,23.01
94549,2010,12,23.55
94903,2010,12,18.16
94043,2010,12,21.38
94131,2010,12,19.11
94070,2010,12,22.19
94518,2010,12,16.79
94102,2010,12,15.14
94947,2010,12,16.91
95054,2010,12,18.79
94607,2010,12,13.8
94619,2010,12,16.55
94107,2010,12,17.59
94103,2010,12,16.76
94123,2010,12,21.62
94085,2010,12,17.78
95032,2010,12,24.67
94579,2010,12,14.81
95135,2010,12,20.74
94547,2010,12,14.26
95118,2010,12,19.51
94609,2010,12,18.44
94030,2010,12,22.76
94024,2010,12,25.95
94704,2010,12,20.81
94519,2010,12,13.82
94564,2010,12,13.37
94596,2010,12,22.48
94803,2010,12,13.64
94588,2010,12,21.61
94506,2010,12,21.62
94022,2010,12,26
95138,2010,12,21.1
94089,2010,12,16.35
95126,2010,12,18.78
95110,2010,12,15.71
94703,2010,12,20.37
94127,2010,12,19.32
94502,2010,12,21.72
94595,2010,12,15.55
94706,2010,12,21.19
94301,2010,12,26.05
94805,2010,12,13.07
94702,2010,12,18.94
94960,2010,12,17.13
94563,2010,12,23.48
94945,2010,12,17.15
94707,2010,12,24.35
94552,2010,12,20.96
94618,2010,12,24.39
95134,2010,12,17.42
94705,2010,12,24.31
94920,2010,12,14.77
94108,2010,12,17.16
94965,2010,12,16.04
94904,2010,12,14.77
94556,2010,12,23.1
94612,2010,12,15.24
94708,2010,12,24.31
94041,2010,12,24.31
94507,2010,12,23.38
94597,2010,12,20.07
94709,2010,12,23.1
94949,2010,12,17.34
94542,2010,12,17.39
94065,2010,12,20.63
94305,2010,12,26
95030,2010,12,25.98
94517,2010,12,20.34
94019,2010,12,19.44
95130,2010,12,22.28
94572,2010,12,12.54
94505,2010,12,13.38
94925,2010,12,16.09
95119,2010,12,17.09
94027,2010,12,23.46
94930,2010,12,18.6
95033,2010,12,22.54
94028,2010,12,23.46
94939,2010,12,14.77
95139,2010,12,16.85
94105,2010,12,19.08
94005,2010,12,19.18
94710,2010,12,18.63
95046,2010,12,19.13
94111,2010,12,19.47
94525,2010,12,13.31
94038,2010,12,19.24
94937,2010,12,19.21
94158,2010,12,17.7
94970,2010,12,14.9
94020,2010,12,20.87
94565,2011,1,8.8
94112,2011,1,15.52
94544,2011,1,12.75
94110,2011,1,18.67
94587,2011,1,16.21
95035,2011,1,17.72
94538,2011,1,16.67
94501,2011,1,19.9
94536,2011,1,18.85
94513,2011,1,12.11
95111,2011,1,14.16
95127,2011,1,14.68
94806,2011,1,9.89
95123,2011,1,16.94
94509,2011,1,8.22
94122,2011,1,18.91
94080,2011,1,17.67
95122,2011,1,12.97
94109,2011,1,18.75
94015,2011,1,17.82
94541,2011,1,13.02
95020,2011,1,14.83
94087,2011,1,25.09
95051,2011,1,20.18
95125,2011,1,22.71
94539,2011,1,23.59
95112,2011,1,16.34
95014,2011,1,25.42
95116,2011,1,13.19
95148,2011,1,17.38
94601,2011,1,10.92
94014,2011,1,16.83
94550,2011,1,17.21
94553,2011,1,15.12
95136,2011,1,17.37
94901,2011,1,17.68
95037,2011,1,18.4
94086,2011,1,22.48
94025,2011,1,24.1
94560,2011,1,15.38
95008,2011,1,21.78
94577,2011,1,14.78
94303,2011,1,23.41
94116,2011,1,19.05
94121,2011,1,19.46
94546,2011,1,16.56
95124,2011,1,21.53
94551,2011,1,15.01
95129,2011,1,24.64
94118,2011,1,20.91
94605,2011,1,13.15
94066,2011,1,18.37
94403,2011,1,21.16
94010,2011,1,24.34
94520,2011,1,11.34
95132,2011,1,18.55
94117,2011,1,19.93
94583,2011,1,20.35
94124,2011,1,11.93
94568,2011,1,18.01
94555,2011,1,19.75
94804,2011,1,9.39
94606,2011,1,13.03
94134,2011,1,14.18
94561,2011,1,9.55
94566,2011,1,23.26
94044,2011,1,18.09
94578,2011,1,14.53
94523,2011,1,18.83
95120,2011,1,23.63
94401,2011,1,17.88
95128,2011,1,19.53
95121,2011,1,15.43
94132,2011,1,16.77
94115,2011,1,20.06
94521,2011,1,15.45
94404,2011,1,20.12
95070,2011,1,25.62
94621,2011,1,7.29
94061,2011,1,20.65
94582,2011,1,19.61
94526,2011,1,22.34
94531,2011,1,10.13
94040,2011,1,25.22
94114,2011,1,21.12
95117,2011,1,20.43
94801,2011,1,7.3
95050,2011,1,19.81
94611,2011,1,22.99
94063,2011,1,16.01
94603,2011,1,8.91
94545,2011,1,13.15
94598,2011,1,22.19
94580,2011,1,14.23
94941,2011,1,17.79
95131,2011,1,18.08
94002,2011,1,22.22
94133,2011,1,19.96
94306,2011,1,25.87
94608,2011,1,14.71
94062,2011,1,23.54
95133,2011,1,15.33
94610,2011,1,22.25
94530,2011,1,22.34
94602,2011,1,19.43
94402,2011,1,23.35
94549,2011,1,23.12
94903,2011,1,18.13
94043,2011,1,20.71
94131,2011,1,19.65
94070,2011,1,22.34
94518,2011,1,16.4
94102,2011,1,15.55
94947,2011,1,16.09
95054,2011,1,18.69
94607,2011,1,14.03
94619,2011,1,16.17
94107,2011,1,17.72
94103,2011,1,16.87
94123,2011,1,22
94085,2011,1,17.78
95032,2011,1,24.76
94579,2011,1,14.99
95135,2011,1,20.75
94547,2011,1,14.34
95118,2011,1,19.53
94609,2011,1,17.93
94030,2011,1,23.17
94024,2011,1,25.8
94704,2011,1,20.17
94519,2011,1,13.92
94564,2011,1,13.39
94596,2011,1,22.26
94803,2011,1,13.62
94588,2011,1,21.41
94506,2011,1,21.47
94022,2011,1,25.85
95138,2011,1,20.85
94089,2011,1,16.55
95126,2011,1,18.82
95110,2011,1,15.87
94703,2011,1,19.67
94127,2011,1,20.06
94502,2011,1,21.02
94595,2011,1,15.42
94706,2011,1,20.71
94301,2011,1,25.95
94805,2011,1,12.87
94702,2011,1,18.26
94960,2011,1,18.41
94563,2011,1,23.1
94945,2011,1,16.57
94707,2011,1,23.4
94552,2011,1,20.38
94618,2011,1,23.39
95134,2011,1,17.67
94705,2011,1,23.39
94920,2011,1,17.67
94108,2011,1,17.54
94965,2011,1,17.49
94904,2011,1,17.61
94556,2011,1,22.76
94612,2011,1,15.42
94708,2011,1,23.28
94041,2011,1,24.44
94507,2011,1,23
94597,2011,1,19.74
94709,2011,1,22.1
94949,2011,1,16.91
94542,2011,1,17.27
94065,2011,1,20.27
94305,2011,1,25.77
95030,2011,1,25.93
94517,2011,1,20.05
94019,2011,1,19.41
95130,2011,1,22.67
94572,2011,1,12.59
94505,2011,1,13.37
94925,2011,1,17.87
95119,2011,1,17.41
94027,2011,1,24.35
94930,2011,1,18.32
95033,2011,1,22.97
94028,2011,1,24.32
94939,2011,1,17.46
95139,2011,1,17.31
94105,2011,1,18.97
94005,2011,1,18.87
94710,2011,1,17.95
95046,2011,1,19.47
94111,2011,1,19.24
94525,2011,1,13.29
94038,2011,1,19.19
94937,2011,1,19.69
94158,2011,1,17.27
94970,2011,1,18.15
94020,2011,1,20.46
94565,2011,2,8.8
94112,2011,2,16.28
94544,2011,2,12.87
94110,2011,2,19.37
94587,2011,2,16.16
95035,2011,2,17.6
94538,2011,2,16.73
94501,2011,2,19.56
94536,2011,2,18.84
94513,2011,2,11.99
95111,2011,2,13.95
95127,2011,2,14.67
94806,2011,2,9.84
95123,2011,2,16.96
94509,2011,2,8.27
94122,2011,2,19.98
94080,2011,2,17.44
95122,2011,2,12.91
94109,2011,2,18.82
94015,2011,2,17.72
94541,2011,2,13.1
95020,2011,2,14.86
94087,2011,2,24.93
95051,2011,2,20.12
95125,2011,2,22.76
94539,2011,2,23.21
95112,2011,2,16.22
95014,2011,2,25.3
95116,2011,2,13.17
95148,2011,2,17.24
94601,2011,2,10.93
94014,2011,2,16.61
94550,2011,2,17.1
94553,2011,2,14.83
95136,2011,2,17.31
94901,2011,2,18.2
95037,2011,2,18.29
94086,2011,2,22.44
94025,2011,2,24.23
94560,2011,2,15.37
95008,2011,2,21.76
94577,2011,2,14.74
94303,2011,2,23.05
94116,2011,2,20.02
94121,2011,2,20.45
94546,2011,2,16.37
95124,2011,2,21.46
94551,2011,2,14.99
95129,2011,2,24.87
94118,2011,2,21.72
94605,2011,2,12.97
94066,2011,2,18.2
94403,2011,2,21.04
94010,2011,2,24.43
94520,2011,2,11.25
95132,2011,2,18.44
94117,2011,2,20.25
94583,2011,2,19.72
94124,2011,2,12.63
94568,2011,2,17.79
94555,2011,2,19.82
94804,2011,2,9.32
94606,2011,2,13.1
94134,2011,2,14.97
94561,2011,2,9.54
94566,2011,2,22.98
94044,2011,2,17.88
94578,2011,2,14.53
94523,2011,2,18.24
95120,2011,2,23.6
94401,2011,2,17.47
95128,2011,2,19.47
95121,2011,2,15.37
94132,2011,2,17.88
94115,2011,2,20.24
94521,2011,2,15.04
94404,2011,2,20.09
95070,2011,2,25.42
94621,2011,2,7.18
94061,2011,2,20.44
94582,2011,2,19.49
94526,2011,2,21.65
94531,2011,2,9.99
94040,2011,2,25.05
94114,2011,2,21.39
95117,2011,2,20.46
94801,2011,2,7.27
95050,2011,2,19.76
94611,2011,2,22.42
94063,2011,2,15.63
94603,2011,2,8.75
94545,2011,2,13.29
94598,2011,2,21.28
94580,2011,2,14.24
94941,2011,2,19.51
95131,2011,2,17.9
94002,2011,2,22.08
94133,2011,2,19.94
94306,2011,2,25.63
94608,2011,2,14.45
94062,2011,2,23.26
95133,2011,2,15.31
94610,2011,2,22
94530,2011,2,21.62
94602,2011,2,19.17
94402,2011,2,23.31
94549,2011,2,22.29
94903,2011,2,18
94043,2011,2,20.51
94131,2011,2,20.2
94070,2011,2,22.37
94518,2011,2,16
94102,2011,2,15.81
94947,2011,2,15.76
95054,2011,2,18.45
94607,2011,2,14.07
94619,2011,2,15.9
94107,2011,2,17.79
94103,2011,2,17.12
94123,2011,2,22.69
94085,2011,2,17.63
95032,2011,2,24.58
94579,2011,2,14.99
95135,2011,2,20.61
94547,2011,2,14.04
95118,2011,2,19.37
94609,2011,2,17.68
94030,2011,2,22.99
94024,2011,2,25.56
94704,2011,2,19.88
94519,2011,2,13.76
94564,2011,2,13.33
94596,2011,2,21.65
94803,2011,2,13.45
94588,2011,2,21.16
94506,2011,2,20.98
94022,2011,2,25.65
95138,2011,2,20.26
94089,2011,2,16.29
95126,2011,2,18.72
95110,2011,2,15.73
94703,2011,2,19.28
94127,2011,2,20.72
94502,2011,2,20.65
94595,2011,2,15.24
94706,2011,2,20.24
94301,2011,2,25.82
94805,2011,2,12.64
94702,2011,2,17.93
94960,2011,2,19.37
