"RegionName","Zri","MoM","QoQ","YoY"
"United States",1381,0,0.00072463768115942,0.0375657400450789
"San Francisco",3349,0.00661256387135558,0.0244723156928724,0.137954468229698
"San Jose",3418,0.00558987937628714,0.00825958702064897,0.0955128205128205
"94565",1882,0.00373333333333333,0.0140086206896552,0.0674985819625638
"94112",3989,0.0124365482233503,0.0527843758247559,0.217271895025938
"94544",2424,0.0079002079002079,0.0232165470662727,0.119630484988453
"94110",4859,0.00662937642428009,0.0283597883597884,0.17565932736511
"94587",2876,0.00947700947700948,0.0323043790380474,0.145816733067729
"95035",3244,0.0083929126515387,0.0275578080456129,0.133869276476756
"94538",2905,0.00484261501210654,0.0182264283210655,0.140557518649391
"94501",3346,0.00661853188929001,0.0266953053083768,0.106481481481481
"94536",3018,0.00199203187250996,0.0158195893638506,0.142748958727755
"94513",2356,0.00383468257349808,0.00383468257349808,0.0485091232754784
"95111",2910,0.00622406639004149,0.0271796681962584,0.143867924528302
"95127",2925,0.00515463917525773,0.0266760266760267,0.148409893992933
"94806",2099,0.00768122899663946,0.0279138099902057,0.155837004405286
"95123",3139,0.00576738224927908,0.0244778067885118,0.179631717399474
"94509",1827,0.00495049504950495,0.0178272980501393,0.0959808038392322
"94122",4171,0.00385078219013237,0.0243123772102161,0.0956133438402942
"94080",3513,0.0118087557603687,0.0173761946133797,0.139474537787869
"95122",2822,0.00966010733452594,0.0280510018214936,0.138821630347054
"94109",4830,0,0.0144927536231884,0.152469577666428
"94015",3475,0.0119394292370414,0.0154880187025132,0.13450865164871
"94541",2444,0.00122900450634986,0.00700453234445818,0.108892921960073
"95020",2950,0.00511073253833049,0.00408441116405718,0.0913799482056974
"94087",4224,0.00475737392959087,0.00213523131672598,0.0991412958626073
"95051",3460,0.00435413642960813,0.0052295177222545,0.0887350534927627
"95125",3548,0.00738216922203294,0.00938833570412518,0.0991325898389095
"94539",4573,0.00704690596784849,0.0146438872864433,0.117273393598827
"95112",2981,0.00134363453140746,0.0111940298507463,0.130880121396055
"95014",4557,0.000219490781387182,0.000878541620909291,0.078069552874379
"95116",2775,0.00579920260964117,0.0213470739786529,0.121212121212121
"95148",3311,0.00668896321070234,0.0228606734630831,0.125807548452907
"94601",2352,0.00384122919334187,0.03886925795053,0.257081774452165
"94014",3275,0.0148744964363186,0.0208852867830424,0.125816431763493
"94550",2990,0.00133958472873409,0.012186865267434,0.104951958610495
"94553",2477,0.00364667747163695,0.0118464052287582,0.0873573309920983
"95136",3263,0.00678802838630052,0.0206443540819518,0.136933797909408
"94901",4090,0.0039273441335297,0.0103754940711462,0.0590367685137235
"95037",3314,0.00333030578262186,-0.00300842358604091,0.0794788273615635
"94086",3768,0.00426439232409382,0.00319488817891374,0.1101944608132
"94025",5522,-0.000904649900488511,0.00381748772950373,0.0606991932385709
"94560",2828,0.00640569395017794,0.0279898218829517,0.135287033319952
"95008",3510,0.00544256659982813,0.00573065902578797,0.086687306501548
"94577",2476,0.00202347227842979,0.00691337942252948,0.103386809269162
"94116",4071,0.000983525940496681,0.0256991685563114,0.10385032537961
"94121",4629,0.0122457905095124,0.0360340196956132,0.135115252574792
"94546",2771,0.004713560551124,0.0127923976608187,0.136121361213612
"95124",3549,0.00881182490051165,0.0134209023415191,0.0977420352613672
"94551",2796,0.00322927879440258,0.0101156069364162,0.122440786832597
"95129",3899,0.0036036036036036,0.0067131422669765,0.108930602957907
"94118",5997,0.0135203650498563,0.0444096133751306,0.190353314807463
"94605",2412,0.000414765657403567,0.0075187969924812,0.143669985775249
"94066",3597,0.00841042893187553,0.0143824027072758,0.149568552253116
"94403",4147,0.00411622276029056,0.0206743785380261,0.148753462603878
"94010",6495,-0.000153940886699507,-0.00368154624942476,0.0552396425670187
"94520",2084,0.00240500240500241,0.0111596312469675,0.103229221810482
"95132",3235,0.00999063378083047,0.0286168521462639,0.144727530077849
"94117",5444,0.0107686594875603,0.0431117072236061,0.186056644880174
"94583",3470,0.00667246881346098,0.0143232972814966,0.084375
"94124",3868,0.012565445026178,0.0635138850701127,0.197523219814241
"94568",3119,-0.00032051282051282,0.00548033526756931,0.131302140007254
"94555",3029,-0.00296247531270573,-0.00263417846559104,0.138721804511278
"94804",2113,0.00666984278227727,0.0188042430086789,0.157808219178082
"94606",2603,0.00618477000386548,0.0288537549407115,0.188041989958923
"94134",3887,0.0178057083006023,0.0722758620689655,0.216969317470257
