"RegionName","Year","Month","AllHomes","X3To4Bed"
"94002",2011,6,831200,906000
"94002",2011,7,827600,903650
"94002",2011,8,825400,903200
"94002",2011,9,826600,905850
"94002",2011,10,830500,911400
"94002",2011,11,834400,917550
"94002",2011,12,839900,924400
"94002",2012,1,847600,933200
"94002",2012,2,855300,942400
"94002",2012,3,862100,949850
"94002",2012,4,868900,956500
"94002",2012,5,877900,965900
"94002",2012,6,890400,978950
"94002",2012,7,904500,991500
"94002",2012,8,916200,999800
"94002",2012,9,926900,1007950
"94002",2012,10,937800,1018600
"94002",2012,11,947300,1030350
"94002",2012,12,955000,1041750
"94002",2013,1,964900,1054700
"94002",2013,2,981500,1072050
"94002",2013,3,1001700,1091750
"94002",2013,4,1022200,1111850
"94002",2013,5,1042700,1132650
"94002",2013,6,1062100,1151600
"94002",2013,7,1078600,1167850
"94002",2013,8,1091900,1183850
"94002",2013,9,1103200,1199600
"94002",2013,10,1117000,1216850
"94002",2013,11,1133800,1236300
"94002",2013,12,1151000,1254050
"94002",2014,1,1167000,1268850
"94002",2014,2,1176900,1277800
"94002",2014,3,1180300,1283350
"94002",2014,4,1178300,1286850
"94002",2014,5,1177300,1288550
"94002",2014,6,1179300,1289850
"94002",2014,7,1182000,1294800
"94002",2014,8,1184800,1299900
"94002",2014,9,1191200,1302350
"94002",2014,10,1196900,1303400
"94002",2014,11,1207200,1311900
"94002",2014,12,1222300,1324450
"94002",2015,1,1241500,1338150
"94002",2015,2,1267700,1358700
"94002",2015,3,1298100,1387300
"94002",2015,4,1327900,1416400
"94002",2015,5,1357300,1444700
"94002",2015,6,1386200,1474450
"94002",2015,7,1415800,1507300
"94002",2015,8,1446000,1538800
"94002",2015,9,1466200,1561400
"94002",2015,10,1480000,1579400
"94002",2015,11,1491800,1594900
"94005",1996,4,251300,313250
"94005",1996,5,251500,313450
"94005",1996,6,251600,313800
"94005",1996,7,252300,313050
"94005",1996,8,252900,312800
"94005",1996,9,256400,316100
"94005",1996,10,260600,319500
"94005",1996,11,261000,319700
"94005",1996,12,260500,320950
"94005",1997,1,262300,325750
"94005",1997,2,265400,329900
"94005",1997,3,266600,332900
"94005",1997,4,267100,336050
"94005",1997,5,269200,336850
"94005",1997,6,270000,337200
"94005",1997,7,268400,338450
"94005",1997,8,269200,341450
"94005",1997,9,272100,344700
"94005",1997,10,274900,347650
"94005",1997,11,279800,351600
"94005",1997,12,285500,357900
"94005",1998,1,287000,360550
"94005",1998,2,287200,361650
"94005",1998,3,290100,364750
"94005",1998,4,292700,368100
"94005",1998,5,291900,369250
"94005",1998,6,292700,372150
"94005",1998,7,296200,375650
"94005",1998,8,299100,377550
"94005",1998,9,299900,380950
"94005",1998,10,301400,385500
"94005",1998,11,303000,389200
"94005",1998,12,304200,391900
"94005",1999,1,302500,394200
"94005",1999,2,299600,395200
"94005",1999,3,298600,396150
"94005",1999,4,299600,397500
"94005",1999,5,301100,401700
"94005",1999,6,305800,410200
"94005",1999,7,310500,417850
"94005",1999,8,314600,424300
"94005",1999,9,322000,433000
"94005",1999,10,332200,441450
"94005",1999,11,340400,447950
"94005",1999,12,348600,455400
"94005",2000,1,358800,465350
"94005",2000,2,371900,476500
"94005",2000,3,386600,489250
"94005",2000,4,401800,503750
"94005",2000,5,415900,519650
"94005",2000,6,426000,531050
"94005",2000,7,433600,540950
"94005",2000,8,442300,554300
"94005",2000,9,447700,560500
"94005",2000,10,446300,558900
"94005",2000,11,444700,558700
"94005",2000,12,446700,559650
"94005",2001,1,449300,560200
"94005",2001,2,450500,563950
"94005",2001,3,449600,565350
"94005",2001,4,444600,563150
"94005",2001,5,436800,557950
"94005",2001,6,429000,547800
"94005",2001,7,422700,537550
"94005",2001,8,415200,530700
"94005",2001,9,406100,523150
"94005",2001,10,398700,518800
"94005",2001,11,397900,520350
"94005",2001,12,399800,525600
"94005",2002,1,400600,528550
"94005",2002,2,402100,531500
"94005",2002,3,407500,537750
"94005",2002,4,414300,547550
"94005",2002,5,421100,556250
"94005",2002,6,429600,567100
"94005",2002,7,440400,581350
"94005",2002,8,451200,591850
"94005",2002,9,461600,602200
"94005",2002,10,469400,615500
"94005",2002,11,471100,622050
"94005",2002,12,467300,616750
"94005",2003,1,465800,610350
"94005",2003,2,465500,605800
"94005",2003,3,462100,603450
"94005",2003,4,457700,602300
"94005",2003,5,460500,601250
"94005",2003,6,468100,603750
"94005",2003,7,474600,609450
"94005",2003,8,477900,612600
"94005",2003,9,481000,615400
"94005",2003,10,487200,621000
"94005",2003,11,497800,632000
"94005",2003,12,510400,646050
"94005",2004,1,523000,660750
"94005",2004,2,535800,677050
"94005",2004,3,551100,697050
"94005",2004,4,570800,716900
"94005",2004,5,584900,734150
"94005",2004,6,589600,745900
"94005",2004,7,594700,755750
"94005",2004,8,604600,766500
"94005",2004,9,613700,780450
"94005",2004,10,622600,793550
"94005",2004,11,632300,808800
"94005",2004,12,640900,820250
"94005",2005,1,648200,826950
"94005",2005,2,654600,833600
"94005",2005,3,658200,839000
"94005",2005,4,661000,841450
"94005",2005,5,665300,846450
"94005",2005,6,671600,853050
"94005",2005,7,677200,856500
"94005",2005,8,682900,864400
"94005",2005,9,685300,869500
"94005",2005,10,688000,867550
"94005",2005,11,690700,861500
"94005",2005,12,694500,860100
"94005",2006,1,697900,867350
"94005",2006,2,702700,878550
"94005",2006,3,706700,886750
"94005",2006,4,706400,888200
"94005",2006,5,703800,891050
"94005",2006,6,702600,897500
"94005",2006,7,703200,901600
"94005",2006,8,704000,904950
"94005",2006,9,708000,914400
"94005",2006,10,713000,926750
"94005",2006,11,718300,939100
